candidate_slug,SQ_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_CANDIDATO,SG_PARTIDO,DS_SITUACAO_CANDIDATURA,DS_GRAU_INSTRUCAO,DS_OCUPACAO,DS_COR_RACA,DS_GENERO,DT_NASCIMENTO,SG_UF_NASCIMENTO,NM_COLIGACAO,snapshot_date,source_url
caiado,280002551932,RONALDO RAMOS CAIADO,RONALDO CAIADO,55,PSD,#NE,SUPERIOR COMPLETO,MÉDICO,BRANCA,MASCULINO,25/09/1949,GO,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
augusto,280002551547,AUGUSTO JORGE CURY,ESCRITOR AUGUSTO CURY,70,AVANTE,#NE,SUPERIOR COMPLETO,ESCRITOR E CRÍTICO,BRANCA,MASCULINO,02/10/1958,SP,BRASIL DOS NOSSOS SONHOS,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
clariana,280002552484,CLARIANA ZACARKIM BARAO,CLARIANA BARAO,27,DC,#NE,SUPERIOR COMPLETO,ADVOGADO,BRANCA,FEMININO,03/04/1987,MT,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
wilson,280002548139,WILSON GRASSI JUNIOR,VETERINÁRIO WILSON GRASSI,35,DEMOCRATA,#NE,SUPERIOR COMPLETO,VETERINÁRIO,BRANCA,MASCULINO,13/03/1970,SP,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
rui,280002552487,RUI COSTA PIMENTA,RUI COSTA PIMENTA,29,PCO,#NE,SUPERIOR COMPLETO,JORNALISTA E REDATOR,BRANCA,MASCULINO,25/06/1957,SP,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
hertz,280002541457,HERTZ DA CONCEICAO DIAS,HERTZ DIAS,16,PSTU,#NE,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,PRETA,MASCULINO,20/10/1970,MA,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
zema,280002539826,ROMEU ZEMA NETO,ZEMA,30,NOVO,#NE,SUPERIOR COMPLETO,EMPRESÁRIO,BRANCA,MASCULINO,28/10/1964,MG,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
samara,280002538811,SAMARA MARTINS DA SILVA FEITOSA,SAMARA,80,UP,#NE,SUPERIOR COMPLETO,ODONTÓLOGO,PRETA,FEMININO,31/08/1987,MG,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
edmilson,280002551975,EDMILSON SILVA COSTA,EDMILSON COSTA,21,PCB,#NE,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),PARDA,MASCULINO,08/04/1950,MA,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
lula,280002542548,LUIZ INÁCIO LULA DA SILVA,LULA,13,PT,#NE,ENSINO FUNDAMENTAL COMPLETO,TORNEIRO MECÂNICO,BRANCA,MASCULINO,06/10/1945,PE,BRASIL PRONTO PRA MAIS,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
pablo,280002553884,PABLO HENRIQUE COSTA MARCAL,PABLO MARÇAL,28,PRTB,#NE,SUPERIOR COMPLETO,DIRETOR DE EMPRESAS,BRANCA,MASCULINO,18/04/1987,GO,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
flavio,280002551544,FLAVIO NANTES BOLSONARO,FLAVIO BOLSONARO,22,PL,#NE,SUPERIOR COMPLETO,SENADOR,BRANCA,MASCULINO,30/04/1981,RJ,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
renan,280002540694,RENAN ANTONIO FERREIRA DOS SANTOS,RENAN SANTOS,14,MISSÃO,#NE,SUPERIOR INCOMPLETO,EMPRESÁRIO,BRANCA,MASCULINO,14/02/1984,SP,PARTIDO ISOLADO,2026-09-03,https://cdn.tse.jus.br/estatistica/sead/odsele/consulta_cand/consulta_cand_2026.zip
